DUO_LU_D3_528_L1_1,MV2010_01231_528_L1_1,MV2010_01223_528_L1_1,DUO_LU_D3_528_L1_2,MV2010_01231_528_L1_2,MV2010_01223_528_L1_2,DUO_LU_D3_528_L1_3,MV2010_01231_528_L1_3,MV2010_01223_528_L1_3,DUO_LU_D3_528_L1_4,MV2010_01231_528_L1_4,MV2010_01223_528_L1_4,DUO_LU_D3_528_L1_5,MV2010_01231_528_L1_5,MV2010_01223_528_L1_5,DUO_LU_D3_528_L5_1,MV2010_01231_528_L5_1,MV2010_01223_528_L5_1,DUO_LU_D3_528_L5_2,MV2010_01231_528_L5_2,MV2010_01223_528_L5_2,DUO_LU_D3_528_L5_3,MV2010_01231_528_L5_3,MV2010_01223_528_L5_3
DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0
528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528
26,155,305,26,157,307,26,158,309,26,156,306,26,160,313,,,317,,,315,N/A,N/A,314
3.1,3.3,6.47,3.1,3.31,6.49,3.09,3.39,6.59,3.09,3.3,6.47,3.1,3.42,6.62,,,6.71,,,6.71,N/A,N/A,6.68
10146,10129,10108,10111,10140,10119,10118,10149,10117,10125,10119,10122,10126,10147,10110,,,10147,,,10131,N/A,N/A,10100
10245.65,10031.7,10071.1,10247.88,10212.33,10174.84,10247.62,10202.41,10173.82,10251.85,10048.36,10054.82,10253.06,10090.56,10056.32,,,10138.58,,,10128.41,,,10135.22
4.136,42.707,37.632,3.57,87.671,80.437,4.077,33.91,30.127,3.73,65.579,61.39,4.168,32.003,28.179,,,12.95,,,5.346,,,5.859
0.04,0.426,0.374,0.035,0.858,0.791,0.04,0.332,0.296,0.036,0.653,0.611,0.041,0.317,0.28,,,0.128,,,0.053,,,0.058
24.0,162.0,128.0,24.0,282.0,262.0,26.0,122.0,120.0,28.0,254.0,243.0,29.0,100.0,99.0,,,55.0,,,32.0,,,125.0
10253,10114,10106,10242,10146,10122,10245,10150,10121,10255,10116,10126,10262,10147,10110,"Thermal Runaway 1
","Thermal Runaway 1
",10122,"Thermal Runaway 1
","Thermal Runaway 1
",10126,"Thermal Runaway 1
","Thermal Runaway 1
",10135
10252,10114,10098,10245,10141,10122,10249,10151,10125,10256,10111,10128,10266,10147,10110,,,10127,,,10126,,,10137
10245,10112,10100,10243,10143,10122,10246,10153,10119,10255,10110,10129,10263,10145,10113,,,10122,,,10128,,,10134
10249,10112,10099,10245,10144,10118,10252,10149,10123,10252,10112,10130,10257,10145,10114,,,10119,,,10129,,,10137
10253,10104,10090,10242,10142,10122,10240,10147,10126,10255,10118,10129,10260,10148,10116,,,10124,,,10136,,,10134
